Episode 283, Reward: -961.10, Average Reward: -96.11, Loss: 49.11, value_loss: 37.21
Episode 284, Reward: -364.20, Average Reward: -91.05, Loss: 88.14, value_loss: 10.18
Episode 285, Reward: -554.70, Average Reward: -92.45, Loss: 90.64, value_loss: 14.76
Episode 286, Reward: -270.60, Average Reward: -90.20, Loss: 73.46, value_loss: 11.36
Episode 287, Reward: -351.50, Average Reward: -87.88, Loss: 55.77, value_loss: 10.25
Episode 288, Reward: -281.90, Average Reward: -93.97, Loss: 35.05, value_loss: 9.70
Episode 289, Reward: -446.10, Average Reward: -89.22, Loss: 36.27, value_loss: 14.64
Episode 290, Reward: -257.30, Average Reward: -85.77, Loss: 69.98, value_loss: 8.15
Episode 291, Reward: -351.10, Average Reward: -87.78, Loss: 69.52, value_loss: 11.73
Episode 292, Reward: -615.00, Average Reward: -87.86, Loss: 52.91, value_loss: 15.64
Episode 293, Reward: -921.30, Average Reward: -92.13, Loss: 59.02, value_loss: 22.97
Episode 294, Reward: -536.60, Average Reward: -89.43, Loss: 84.84, value_loss: 10.69
Episode 295, Reward: -530.00, Average Reward: -88.33, Loss: 49.29, value_loss: 8.75
Episode 296, Reward: -717.50, Average Reward: -89.69, Loss: 48.18, value_loss: 9.21
Episode 297, Reward: -178.40, Average Reward: -89.20, Loss: 45.82, value_loss: 9.28
Episode 298, Reward: -879.70, Average Reward: -87.97, Loss: 58.75, value_loss: 10.69
Episode 299, Reward: -538.80, Average Reward: -89.80, Loss: 60.37, value_loss: 17.57
Episode 301, Reward: -357.30, Average Reward: -89.33, Loss: 36.82, value_loss: 10.02
Episode 302, Reward: -445.10, Average Reward: -89.02, Loss: 34.13, value_loss: 7.75
Episode 303, Reward: -1044.41, Average Reward: -104.44, Loss: -0.67, value_loss: 111.95
Episode 304, Reward: -359.00, Average Reward: -89.75, Loss: 150.18, value_loss: 20.34
Episode 305, Reward: -1034.31, Average Reward: -103.43, Loss: 57.02, value_loss: 64.85
Episode 306, Reward: -937.50, Average Reward: -93.75, Loss: 140.92, value_loss: 27.14
Episode 307, Reward: -596.56, Average Reward: -99.43, Loss: 19.50, value_loss: 40.73
Episode 308, Reward: -589.70, Average Reward: -98.28, Loss: 40.13, value_loss: 42.25
Episode 309, Reward: -623.80, Average Reward: -89.11, Loss: 127.07, value_loss: 16.82
Episode 310, Reward: -268.90, Average Reward: -89.63, Loss: 93.12, value_loss: 10.56
Episode 311, Reward: -365.80, Average Reward: -91.45, Loss: 72.25, value_loss: 10.54
Episode 312, Reward: -435.30, Average Reward: -87.06, Loss: 53.09, value_loss: 8.10
