Episode 30497, Reward: -81.90, Average Reward: -27.30, Loss: 6.36, value_loss: 17.83
Episode 30499, Reward: 85.90, Average Reward: 17.18, Loss: 586.63, value_loss: 1097.49
Episode 30502, Reward: -165.52, Average Reward: -18.39, Loss: 15.32, value_loss: 30.61
Episode 30504, Reward: 229.90, Average Reward: 22.99, Loss: 676.06, value_loss: 1380.61
Episode 30505, Reward: -257.40, Average Reward: -42.90, Loss: 0.26, value_loss: 17.19
Episode 30506, Reward: 89.80, Average Reward: 17.96, Loss: 526.25, value_loss: 995.97
Episode 30507, Reward: -80.20, Average Reward: -20.05, Loss: 326.00, value_loss: 672.33
Episode 30508, Reward: -24.24, Average Reward: -4.04, Loss: 343.55, value_loss: 669.89
Episode 30509, Reward: -41.20, Average Reward: -6.87, Loss: 222.52, value_loss: 443.58
Episode 30510, Reward: 45.20, Average Reward: 11.30, Loss: 633.36, value_loss: 1237.11
Episode 30511, Reward: -301.00, Average Reward: -50.17, Loss: 4.82, value_loss: 43.49
Episode 30512, Reward: -20.80, Average Reward: -4.16, Loss: 124.55, value_loss: 283.07
Episode 30513, Reward: 6.10, Average Reward: 3.05, Loss: 339.56, value_loss: 653.91
Episode 30515, Reward: 35.56, Average Reward: 3.95, Loss: 195.45, value_loss: 382.16
Episode 30516, Reward: 75.26, Average Reward: 10.75, Loss: 537.42, value_loss: 1091.44
Episode 30517, Reward: -287.08, Average Reward: -41.01, Loss: 49.59, value_loss: 124.48
Episode 30518, Reward: -116.20, Average Reward: -29.05, Loss: 7.50, value_loss: 24.67
Episode 30519, Reward: -27.10, Average Reward: -3.87, Loss: 12.60, value_loss: 42.25
Episode 30520, Reward: 76.20, Average Reward: 7.62, Loss: 416.20, value_loss: 836.22
Episode 30521, Reward: 19.90, Average Reward: 2.21, Loss: 207.80, value_loss: 404.89
Episode 30523, Reward: 76.44, Average Reward: 8.49, Loss: 390.06, value_loss: 783.16
Episode 30528, Reward: -117.46, Average Reward: -58.73, Loss: -3.12, value_loss: 86.96
Episode 30534, Reward: -188.43, Average Reward: -26.92, Loss: 16.33, value_loss: 41.22
Episode 30535, Reward: -128.33, Average Reward: -14.26, Loss: 5.24, value_loss: 46.63
Episode 30536, Reward: -162.60, Average Reward: -20.33, Loss: -8.59, value_loss: 103.76
Episode 30537, Reward: -124.14, Average Reward: -31.04, Loss: 174.07, value_loss: 343.69
Episode 30538, Reward: -11.30, Average Reward: -5.65, Loss: 299.76, value_loss: 622.05
Episode 30540, Reward: -282.80, Average Reward: -70.70, Loss: 28.56, value_loss: 70.64
Episode 30543, Reward: -26.80, Average Reward: -3.35, Loss: 394.45, value_loss: 827.29
Episode 30546, Reward: 9.70, Average Reward: 1.94, Loss: 127.03, value_loss: 242.97
Episode 30548, Reward: -71.03, Average Reward: -23.68, Loss: 59.67, value_loss: 94.01
Episode 30550, Reward: 14.90, Average Reward: 4.97, Loss: 229.14, value_loss: 439.76
Episode 30552, Reward: 9.50, Average Reward: 1.58, Loss: 125.01, value_loss: 237.91
Episode 30555, Reward: 17.40, Average Reward: 2.90, Loss: 248.32, value_loss: 456.71
Episode 30556, Reward: -135.02, Average Reward: -15.00, Loss: 17.38, value_loss: 52.27
Episode 30558, Reward: 33.29, Average Reward: 3.70, Loss: 281.07, value_loss: 565.70
Episode 30562, Reward: -143.11, Average Reward: -28.62, Loss: 56.80, value_loss: 150.22
Episode 30563, Reward: 49.09, Average Reward: 16.36, Loss: 614.44, value_loss: 1234.64
Episode 30566, Reward: -446.82, Average Reward: -63.83, Loss: 57.21, value_loss: 94.61
Episode 30567, Reward: -21.10, Average Reward: -5.27, Loss: 168.31, value_loss: 340.91
Episode 30570, Reward: -77.00, Average Reward: -38.50, Loss: 61.59, value_loss: 87.12
Episode 30573, Reward: 1.30, Average Reward: 0.65, Loss: 334.28, value_loss: 643.91
Episode 30574, Reward: -56.84, Average Reward: -8.12, Loss: 101.24, value_loss: 168.37
Episode 30575, Reward: -139.87, Average Reward: -34.97, Loss: 21.80, value_loss: 56.89
Episode 30577, Reward: -22.25, Average Reward: -2.22, Loss: -43.01, value_loss: 94.08
Episode 30578, Reward: -91.95, Average Reward: -9.20, Loss: 31.44, value_loss: 81.99
Episode 30579, Reward: 9.20, Average Reward: 3.07, Loss: 438.92, value_loss: 834.63
Episode 30581, Reward: -19.10, Average Reward: -4.77, Loss: 195.04, value_loss: 364.29
Episode 30585, Reward: -47.49, Average Reward: -9.50, Loss: 49.28, value_loss: 68.28
Episode 30587, Reward: 4.40, Average Reward: 0.73, Loss: 109.79, value_loss: 207.76
Episode 30589, Reward: 29.00, Average Reward: 14.50, Loss: 642.97, value_loss: 1220.99
Episode 30590, Reward: -165.40, Average Reward: -23.63, Loss: 8.03, value_loss: 46.31
Episode 30591, Reward: -166.93, Average Reward: -16.69, Loss: 22.71, value_loss: 53.88
Episode 30592, Reward: -73.53, Average Reward: -12.26, Loss: 43.79, value_loss: 61.59
Episode 30594, Reward: -459.50, Average Reward: -45.95, Loss: -8.29, value_loss: 91.99
Episode 30596, Reward: -367.90, Average Reward: -40.88, Loss: 19.29, value_loss: 75.78
Episode 30597, Reward: -451.30, Average Reward: -50.14, Loss: 24.08, value_loss: 52.87
Episode 30598, Reward: -261.80, Average Reward: -65.45, Loss: 15.22, value_loss: 38.46
