Episode 444, Reward: -0.29, Average Reward: -0.05, Loss: 0.67, value_loss: 0.33
Episode 445, Reward: -0.61, Average Reward: -0.10, Loss: 0.46, value_loss: 0.60
Episode 450, Reward: -0.67, Average Reward: -0.11, Loss: 0.41, value_loss: 0.10
Episode 452, Reward: -0.52, Average Reward: -0.09, Loss: 0.59, value_loss: 0.13
Episode 456, Reward: -0.66, Average Reward: -0.11, Loss: 0.29, value_loss: 0.09
Episode 461, Reward: -0.53, Average Reward: -0.09, Loss: 0.32, value_loss: 0.04
Episode 463, Reward: -0.26, Average Reward: -0.04, Loss: 0.76, value_loss: 0.49
Episode 464, Reward: -0.75, Average Reward: -0.13, Loss: 0.35, value_loss: 0.04
Episode 465, Reward: -0.76, Average Reward: -0.13, Loss: 0.33, value_loss: 0.04
Episode 471, Reward: -0.72, Average Reward: -0.12, Loss: 0.28, value_loss: 0.01
Episode 472, Reward: -0.49, Average Reward: -0.08, Loss: 0.70, value_loss: 0.18
Episode 473, Reward: -0.73, Average Reward: -0.12, Loss: 0.54, value_loss: 0.05
Episode 474, Reward: -0.55, Average Reward: -0.09, Loss: 0.50, value_loss: 0.19
Episode 475, Reward: -0.71, Average Reward: -0.12, Loss: 0.74, value_loss: 0.03
Episode 477, Reward: -0.62, Average Reward: -0.10, Loss: 0.35, value_loss: 0.15
Episode 478, Reward: -0.69, Average Reward: -0.12, Loss: 0.28, value_loss: 0.01
Episode 481, Reward: -0.54, Average Reward: -0.09, Loss: 0.40, value_loss: 0.20
Episode 482, Reward: -0.43, Average Reward: -0.07, Loss: 0.55, value_loss: 0.19
Episode 484, Reward: -0.59, Average Reward: -0.10, Loss: 0.30, value_loss: 0.15
Episode 488, Reward: -0.17, Average Reward: -0.03, Loss: 1.12, value_loss: 0.65
Episode 493, Reward: -0.67, Average Reward: -0.11, Loss: 0.66, value_loss: 0.06
Episode 494, Reward: -0.54, Average Reward: -0.09, Loss: 0.71, value_loss: 0.16
Episode 497, Reward: -0.58, Average Reward: -0.10, Loss: 1.08, value_loss: 0.48
Episode 499, Reward: -0.61, Average Reward: -0.10, Loss: 0.27, value_loss: 0.15
Episode 501, Reward: -0.66, Average Reward: -0.11, Loss: 0.90, value_loss: 0.21
Episode 503, Reward: -0.74, Average Reward: -0.12, Loss: 0.39, value_loss: 0.03
Episode 504, Reward: -0.72, Average Reward: -0.12, Loss: 0.43, value_loss: 0.02
Episode 508, Reward: -0.60, Average Reward: -0.10, Loss: 0.35, value_loss: 0.02
Episode 509, Reward: -0.53, Average Reward: -0.09, Loss: 0.65, value_loss: 0.21
Episode 513, Reward: -0.71, Average Reward: -0.12, Loss: 0.65, value_loss: 0.11
Episode 514, Reward: -0.74, Average Reward: -0.12, Loss: 0.50, value_loss: 0.03
Episode 515, Reward: -0.74, Average Reward: -0.12, Loss: 0.43, value_loss: 0.04
Episode 516, Reward: -0.44, Average Reward: -0.07, Loss: 0.53, value_loss: 0.33
Episode 517, Reward: -0.36, Average Reward: -0.06, Loss: 0.42, value_loss: 0.28
Episode 519, Reward: -0.44, Average Reward: -0.07, Loss: 0.06, value_loss: 0.52
Episode 520, Reward: -0.55, Average Reward: -0.09, Loss: 0.27, value_loss: 0.24
Episode 522, Reward: -0.61, Average Reward: -0.10, Loss: 0.77, value_loss: 0.13
Episode 524, Reward: -0.73, Average Reward: -0.12, Loss: 0.69, value_loss: 0.03
Episode 525, Reward: -0.42, Average Reward: -0.07, Loss: 0.13, value_loss: 0.32
Episode 526, Reward: -0.74, Average Reward: -0.12, Loss: 0.27, value_loss: 0.02
Episode 527, Reward: -0.74, Average Reward: -0.12, Loss: 0.25, value_loss: 0.07
Episode 528, Reward: -0.67, Average Reward: -0.11, Loss: 0.28, value_loss: 0.05
Episode 530, Reward: -0.49, Average Reward: -0.08, Loss: 0.38, value_loss: 0.93
Episode 531, Reward: -0.73, Average Reward: -0.12, Loss: 0.56, value_loss: 0.03
Episode 532, Reward: -0.55, Average Reward: -0.09, Loss: 0.94, value_loss: 0.11
Episode 536, Reward: -0.73, Average Reward: -0.12, Loss: 0.82, value_loss: 0.03
Episode 537, Reward: -0.58, Average Reward: -0.10, Loss: 0.65, value_loss: 0.19
Episode 538, Reward: -0.63, Average Reward: -0.10, Loss: 0.56, value_loss: 0.19
Episode 539, Reward: -0.61, Average Reward: -0.10, Loss: 0.29, value_loss: 0.10
Episode 540, Reward: -0.45, Average Reward: -0.07, Loss: 0.35, value_loss: 0.24
Episode 542, Reward: -0.73, Average Reward: -0.12, Loss: 0.30, value_loss: 0.02
Episode 544, Reward: -0.35, Average Reward: -0.06, Loss: 0.34, value_loss: 0.33
Episode 545, Reward: -0.59, Average Reward: -0.10, Loss: 0.47, value_loss: 0.34
Episode 547, Reward: -0.51, Average Reward: -0.09, Loss: 0.31, value_loss: 0.50
Episode 549, Reward: -0.61, Average Reward: -0.10, Loss: 0.70, value_loss: 0.12
Episode 551, Reward: -0.34, Average Reward: -0.06, Loss: 0.44, value_loss: 0.24
Episode 552, Reward: -0.65, Average Reward: -0.11, Loss: 0.27, value_loss: 0.02
Episode 553, Reward: -0.67, Average Reward: -0.11, Loss: 0.33, value_loss: 0.02
Episode 554, Reward: -0.74, Average Reward: -0.12, Loss: 0.46, value_loss: 0.03
Episode 556, Reward: -0.36, Average Reward: -0.06, Loss: 0.50, value_loss: 0.22
Episode 557, Reward: -0.55, Average Reward: -0.09, Loss: 0.34, value_loss: 0.17
Episode 560, Reward: -0.69, Average Reward: -0.11, Loss: 0.80, value_loss: 0.03
Episode 561, Reward: -0.65, Average Reward: -0.11, Loss: 0.07, value_loss: 0.07
Episode 566, Reward: -0.73, Average Reward: -0.12, Loss: 0.69, value_loss: 0.03
Episode 568, Reward: -0.56, Average Reward: -0.09, Loss: 0.33, value_loss: 0.06
Episode 569, Reward: -0.40, Average Reward: -0.07, Loss: 0.48, value_loss: 0.23
Episode 570, Reward: -0.54, Average Reward: -0.09, Loss: 0.03, value_loss: 0.27
Episode 572, Reward: -0.63, Average Reward: -0.10, Loss: 0.19, value_loss: 0.04
Episode 577, Reward: -0.69, Average Reward: -0.11, Loss: 0.70, value_loss: 0.03
Episode 578, Reward: -0.33, Average Reward: -0.06, Loss: 0.39, value_loss: 0.35
Episode 581, Reward: -0.22, Average Reward: -0.04, Loss: 0.86, value_loss: 0.70
Episode 582, Reward: -0.62, Average Reward: -0.10, Loss: 0.17, value_loss: 0.03
Episode 584, Reward: -0.74, Average Reward: -0.12, Loss: 0.53, value_loss: 0.03
Episode 587, Reward: -0.64, Average Reward: -0.11, Loss: 0.54, value_loss: 0.19
Episode 589, Reward: -0.59, Average Reward: -0.10, Loss: 0.43, value_loss: 0.09
Episode 592, Reward: -0.40, Average Reward: -0.07, Loss: 0.58, value_loss: 0.19
Episode 595, Reward: -0.65, Average Reward: -0.11, Loss: 0.49, value_loss: 0.06
